epoch;accuracy;loss;val_accuracy;val_loss
0;0.03500000014901161;5.013216495513916;0.03999999910593033;4.650676250457764
1;0.17499999701976776;3.736603021621704;0.10999999940395355;3.9279427528381348
2;0.39250001311302185;2.6507773399353027;0.18000000715255737;3.527019739151001
3;0.5625;1.9408715963363647;0.25;3.2680575847625732
4;0.7200000286102295;1.4317317008972168;0.27000001072883606;3.113978862762451
5;0.8450000286102295;1.0623505115509033;0.28999999165534973;3.0197718143463135
6;0.9125000238418579;0.7948949933052063;0.2800000011920929;2.9589786529541016
7;0.9599999785423279;0.6071825623512268;0.28999999165534973;2.9125657081604004
8;0.9775000214576721;0.47576579451560974;0.28999999165534973;2.8764278888702393
9;0.9900000095367432;0.38110437989234924;0.30000001192092896;2.852499485015869
10;0.9925000071525574;0.31299808621406555;0.30000001192092896;2.8392345905303955
11;1.0;0.2639220952987671;0.28999999165534973;2.8336007595062256
12;1.0;0.22730426490306854;0.2800000011920929;2.833740472793579
13;1.0;0.19941867887973785;0.2800000011920929;2.8358871936798096
14;1.0;0.17768007516860962;0.2800000011920929;2.8389227390289307
15;1.0;0.16032648086547852;0.2800000011920929;2.842074394226074
16;1.0;0.14620527625083923;0.2800000011920929;2.8455448150634766
17;1.0;0.1344587653875351;0.28999999165534973;2.8488919734954834
18;1.0;0.12454713881015778;0.30000001192092896;2.8520569801330566
19;1.0;0.11604289710521698;0.30000001192092896;2.8554675579071045
0;0.02250000089406967;4.978971481323242;0.019999999552965164;4.779250621795654
1;0.03750000149011612;4.62289571762085;0.019999999552965164;4.850288391113281
2;0.03999999910593033;4.263457298278809;0.029999999329447746;4.725114345550537
3;0.1274999976158142;3.643037796020508;0.05999999865889549;4.635734558105469
4;0.2524999976158142;2.8881072998046875;0.05000000074505806;4.632239818572998
5;0.44999998807907104;2.2203469276428223;0.07999999821186066;4.671084403991699
6;0.6399999856948853;1.6272751092910767;0.05000000074505806;5.090322494506836
7;0.8224999904632568;1.1990513801574707;0.07000000029802322;5.007353782653809
8;0.8525000214576721;0.9142894148826599;0.05999999865889549;5.362990856170654
9;0.9325000047683716;0.6120966672897339;0.05999999865889549;5.5173845291137695
10;0.9649999737739563;0.4159087836742401;0.03999999910593033;5.592592716217041
11;0.9825000166893005;0.26500117778778076;0.07000000029802322;5.477264404296875
12;0.9925000071525574;0.14489032328128815;0.07000000029802322;5.488122940063477
13;0.9900000095367432;0.10560542345046997;0.07000000029802322;5.6418962478637695
14;0.987500011920929;0.07684020698070526;0.07000000029802322;5.618149280548096
15;0.9975000023841858;0.05404526740312576;0.09000000357627869;5.686829090118408
16;0.9925000071525574;0.05417986214160919;0.07999999821186066;5.575908660888672
17;0.9975000023841858;0.026024483144283295;0.07000000029802322;5.569945812225342
18;1.0;0.014710395596921444;0.07000000029802322;5.581228256225586
19;1.0;0.012470107525587082;0.07000000029802322;5.591766357421875
0;0.520425021648407;1.805235743522644;0.5785999894142151;1.5185484886169434
1;0.6331250071525574;1.3156615495681763;0.6060000061988831;1.4265813827514648
2;0.6651750206947327;1.1966028213500977;0.6219000220298767;1.3838965892791748
3;0.6829000115394592;1.1224567890167236;0.6326000094413757;1.358593225479126
4;0.6977999806404114;1.0682380199432373;0.6383000016212463;1.3436017036437988
5;0.7096750140190125;1.0253645181655884;0.6407999992370605;1.3354655504226685
6;0.7178000211715698;0.9899048805236816;0.6446999907493591;1.3315821886062622
7;0.7262499928474426;0.9597336649894714;0.6463000178337097;1.3304650783538818
8;0.7330499887466431;0.9335313439369202;0.6478000283241272;1.3310867547988892
9;0.7401000261306763;0.9104093909263611;0.6486999988555908;1.3328708410263062
10;0.745199978351593;0.8897268772125244;0.6499000191688538;1.3356659412384033
11;0.7495999932289124;0.871048629283905;0.6521999835968018;1.338878870010376
12;0.7539250254631042;0.8540089130401611;0.6535999774932861;1.342698097229004
13;0.7580999732017517;0.8383573293685913;0.6547999978065491;1.346890926361084
14;0.7619249820709229;0.8238988518714905;0.6556000113487244;1.3515663146972656
15;0.7656750082969666;0.8104472756385803;0.6563000082969666;1.3564530611038208
16;0.7691500186920166;0.7978983521461487;0.6565999984741211;1.3615713119506836
17;0.7720500230789185;0.7861143350601196;0.6571999788284302;1.366671085357666
18;0.7749750018119812;0.7750377655029297;0.6561999917030334;1.3721510171890259
19;0.7783750295639038;0.764593780040741;0.6567000150680542;1.3777395486831665
