model_name,original_dataset,dataset,required_image_size,remark,split,batch_size,epochs,GPUTYPE,random_seed,learning_rate,DEVICE,testSet_after_transfer_learning,validationSet_after_transfer_learning,trainingSet_after_transfer_learning,testSet_after_fine_tune,rank,validationSet_after_fine_tune,trainingSet_after_fine_tune,model_size,test_time(s),tl_fit_time(min),ft_fit_time(min)
imagenet_pnasnet_large,ILSVRC-2012-CLS,cifar100,331,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:3,0.724099994,0.715799987,0.988349974,0.806999981,19,0.805299997,0.981774986,643.3,375.275,221,1107
efficientnet_b0,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.718599975,0.726700008,0.953000009,0.799199998,20,0.809700012,0.989024997,41.3,54.566,32,118
bit_s-r50x1_1,ILSRCV-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:6,0.685199976,0.696099997,0.930525005,0.796299994,21,0.799199998,0.999875009,193.6,106.861,71,327
imagenet_inception_resnet_v2,ILSVRC-2012-CLS,cifar100,299,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,NVIDIA A100-SXM4-80GB:2,0.707899988,0.706099987,0.885574996,0.792100012,22,0.795300007,0.981899977,429.9,87.686,49,154
tf2-preview_inception_v3,ILSVRC-2012-CLS,cifar100,299,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:5,0.647300005,0.648500025,0.935050011,0.790499985,23,0.784600019,0.998175025,173.4,85.339,47,128
imagenet_inception_v2,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.649500012,0.646700025,0.872250021,0.787800014,24,0.791999996,0.999074996,83.2,49.822,29,91
edgetpu_vision_mobilenet-edgetpu-v2,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.657000005,0.655600011,0.951674998,0.78670001,25,0.79339999,0.995249987,83.2,68.999,39,120
imagenet_inception_v3,ILSVRC-2012-CLS,cifar100,299,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:1,0.647300005,0.648400009,0.93492502,0.785399973,26,0.793299973,0.998300016,174,72.888,44,104
imagenet_inception_v1,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.635599971,0.6347,0.848749995,0.775399983,27,0.780600011,0.998374999,47.8,46.529,26,59
edgetpu_vision_mobilenet-edgetpu-v2,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:2,0.636900008,0.64289999,0.909825027,0.775399983,28,0.774999976,0.991124988,30.8,50.06,30,99
imagenet_resnet_v1_152,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,NVIDIA A100-SXM4-80GB:1,0.702600002,0.70660001,0.980225027,0.763700008,29,0.764699996,0.999050021,456.2,56.763,30,98
imagenet_resnet_v2_152,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:6,0.680100024,0.680000007,0.981975019,0.762600005,30,0.765200019,0.999074996,456.7,124.478,69,178
imagenet_mobilenet_v1_100_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.638899982,0.645799994,0.911450028,0.756299973,31,0.757600009,0.997224987,28.2,31.227,18,75
imagenet_nasnet_mobile,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.602199972,0.605199993,0.859025002,0.754000008,32,0.75029999,0.968800008,47.3,173.054,56,272
imagenet_mobilenet_v3_large_100_224,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:2,0.689599991,0.696500003,0.982050002,0.753899992,33,0.757399976,0.96329999,37.5,67.818,28,95
regnety800mf,imagenet1k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:4,0.690999985,0.700600028,0.844974995,0.746599972,34,0.754400015,0.996224999,54.3,51.778,39,111
imagenet_resnet_v1_50,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:5,0.681200027,0.680700004,0.983124971,0.739799976,35,0.748600006,0.999024987,185.6,81.556,31,86
